행복, 기쁨
슬픔, 우울
강하다, 세다
아름답다, 예쁘다
빠르다, 신속하다
밝다, 환하다
어둡다, 캄캄하다
높다, 고다
낮다, 작다
뜨겁다, 데우다
차갑다, 시리다
크다, 거대하다
작다, 소형이다
비싸다, 고가다
싸다, 저렴하다
길다, 장다
짧다, 단다
많다, 풍부하다
적다, 드물다
좋다, 훌륭하다
나쁘다, 악하다
새롭다, 신선하다
오래되다, 낡다
쉽다, 간단하다
어렵다, 복잡하다
빠르다, 신속하다
느리다, 천천히
강하다, 튼튼하다
약하다, 허약하다
행복하다, 즐겁다
슬프다, 우울하다
건강하다, 튼튼하다
아프다, 병들다
부자, 재벌
가난, 빈곤
편하다, 안락하다
불편하다, 불안하다
크다, 거대하다
작다, 소형이다
넓다, 광대하다
좁다, 협소하다
재미있다, 즐겁다
지루하다, 따분하다
깨끗하다, 청결하다
더럽다, 불결하다
친하다, 가까운
멀다, 먼
뜨겁다, 데우다
차갑다, 시리다
성공하다, 이루다
실패하다, 망치다
좋다, 훌륭하다
나쁘다, 악하다
똑똑하다, 지혜롭다
어리석다, 바보같다
부드럽다, 말랑하다
딱딱하다, 단단하다
빨갛다, 붉다
파랗다, 청색이다
가볍다, 경량이다
무겁다, 중량이다
이르다, 빠르다
늦다, 지연되다
시끄럽다, 소란스럽다
조용하다, 고요하다
날씬하다, 마르다
뚱뚱하다, 비만이다
편리하다, 유용하다
불편하다, 불리하다
이기다, 승리하다
지다, 패배하다
웃다, 미소짓다
울다, 눈물흘리다
기쁘다, 행복하다
슬프다, 우울하다
따뜻하다, 온화하다
차갑다, 냉정하다
유명하다, 유명인
무명하다, 무명인
좋다, 훌륭하다
나쁘다, 불량하다
기억하다, 상기하다
잊다, 망각하다
추운, 한랭한
더운, 열정적인
가까운, 인접한
먼, 멀리있는
동의하다, 찬성하다
반대하다, 반박하다
사랑하다, 좋아하다
미워하다, 싫어하다
웃다, 미소짓다
울다, 눈물흘리다
기쁘다, 행복하다
슬프다, 우울하다
